cat_name,entityid,filename,side,time
Circles,0,0.jpg,left,night
Circles,0,1.jpg,left,night
Circles,0,2.jpg,left,night
Circles,0,3.jpg,left,night
Circles,0,4.jpg,left,night
Circles,0,5.jpg,left,night
Circles,0,6.jpg,left,night
Circles,0,7.jpg,left,night
Circles,0,8.jpg,left,night
Circles,0,9.jpg,left,night
Circles,0,10.jpg,left,night
Circles,0,11.jpg,left,night
Circles,0,12.jpg,left,night
Circles,0,13.jpg,left,night
Circles,1,14.jpg,right,night
Circles,1,15.jpg,right,night
Circles,1,16.jpg,right,night
Circles,1,17.jpg,right,night
Circles,1,18.jpg,right,night
Circles,1,19.jpg,right,night
Circles,1,20.jpg,right,night
Circles,2,21.jpg,left,day
Circles,2,22.jpg,left,day
Circles,2,23.jpg,left,day
Circles,2,24.jpg,left,day
Felix,7,85.jpg,left,night
Felix,7,86.jpg,left,night
Felix,7,87.jpg,left,night
Felix,7,88.jpg,left,night
Felix,7,89.jpg,left,night
Felix,7,90.jpg,left,night
Felix,7,91.jpg,left,night
Felix,7,92.jpg,left,night
Felix,7,93.jpg,left,night
Felix,7,94.jpg,left,night
Felix,7,95.jpg,left,night
Felix,7,96.jpg,left,night
Felix,7,97.jpg,left,night
Felix,7,98.jpg,left,night
Felix,7,99.jpg,left,night
Felix,7,100.jpg,left,night
Felix,7,101.jpg,left,night
Felix,7,102.jpg,left,night
Felix,7,103.jpg,left,night
Felix,7,104.jpg,left,night
Felix,7,105.jpg,left,night
Felix,7,106.jpg,left,night
Felix,7,107.jpg,left,night
Felix,7,108.jpg,left,night
Felix,7,109.jpg,left,night
Felix,7,110.jpg,left,night
Felix,7,111.jpg,left,night
Felix,7,112.jpg,left,night
Felix,7,113.jpg,left,night
Felix,7,114.jpg,left,night
Felix,7,115.jpg,left,night
Felix,7,116.jpg,left,night
Felix,7,117.jpg,left,night
Felix,7,118.jpg,left,night
Felix,7,119.jpg,left,night
Felix,7,120.jpg,left,night
Felix,7,121.jpg,left,night
Felix,7,122.jpg,left,night
Felix,7,123.jpg,left,night
Felix,7,124.jpg,left,night
Felix,8,125.jpg,right,night
Felix,8,126.jpg,right,night
Felix,8,127.jpg,right,night
Felix,8,128.jpg,right,night
Felix,8,129.jpg,right,night
Felix,8,130.jpg,right,night
Felix,8,131.jpg,right,night
Felix,8,132.jpg,right,night
Felix,8,133.jpg,right,night
Felix,8,134.jpg,right,night
Felix,8,135.jpg,right,night
Felix,8,136.jpg,right,night
Felix,8,137.jpg,right,night
Felix,8,138.jpg,right,night
Felix,8,139.jpg,right,night
Felix,8,140.jpg,right,night
Felix,8,141.jpg,right,night
Felix,8,142.jpg,right,night
Felix,8,143.jpg,right,night
Felix,8,144.jpg,right,night
Felix,8,145.jpg,right,night
Felix,8,146.jpg,right,night
Felix,8,147.jpg,right,night
Felix,8,148.jpg,right,night
Felix,9,149.jpg,left,day
Felix,9,150.jpg,left,day
Felix,9,151.jpg,left,day
Felix,9,152.jpg,left,day
Felix,9,153.jpg,left,day
Felix,10,154.jpg,right,day
Felix,10,155.jpg,right,day
Felix,10,156.jpg,right,day
Felix,10,157.jpg,right,day
Felix,10,158.jpg,right,day
Felix,10,159.jpg,right,day
Felix,10,160.jpg,right,day
Ginger,11,161.jpg,left,night
Ginger,11,162.jpg,left,night
Ginger,11,163.jpg,left,night
Ginger,11,164.jpg,left,night
Ginger,11,165.jpg,left,night
Ginger,11,166.jpg,left,night
Ginger,11,167.jpg,left,night
Ginger,11,168.jpg,left,night
Ginger,11,169.jpg,left,night
Ginger,11,170.jpg,left,night
Ginger,11,171.jpg,left,night
Ginger,11,172.jpg,left,night
Ginger,11,173.jpg,left,night
Ginger,11,174.jpg,left,night
Ginger,11,175.jpg,left,night
Ginger,11,176.jpg,left,night
Ginger,11,177.jpg,left,night
Ginger,12,178.jpg,right,night
Ginger,12,179.jpg,right,night
Ginger,12,180.jpg,right,night
Ginger,12,181.jpg,right,night
Ginger,12,182.jpg,right,night
Ginger,12,183.jpg,right,night
Ginger,12,184.jpg,right,night
Ginger,12,185.jpg,right,night
Ginger,12,186.jpg,right,night
Ginger,12,187.jpg,right,night
Ginger,12,188.jpg,right,night
Ginger,12,189.jpg,right,night
Ginger,12,190.jpg,right,night
Ginger,12,191.jpg,right,night
Ginger,13,192.jpg,left,day
Ginger,13,193.jpg,left,day
Ginger,13,194.jpg,left,day
Ginger,13,195.jpg,left,day
Ginger,13,196.jpg,left,day
Ginger,13,197.jpg,left,day
Ginger,13,198.jpg,left,day
Ginger,13,199.jpg,left,day
Ginger,13,200.jpg,left,day
Ginger,13,201.jpg,left,day
Ginger,13,202.jpg,left,day
Ginger,13,203.jpg,left,day
Ginger,13,204.jpg,left,day
Ginger,13,205.jpg,left,day
Ginger,13,206.jpg,left,day
Ginger,13,207.jpg,left,day
Ginger,13,208.jpg,left,day
Ginger,13,209.jpg,left,day
Ginger,13,210.jpg,left,day
Ginger,13,211.jpg,left,day
Ginger,13,212.jpg,left,day
Ginger,13,213.jpg,left,day
Ginger,13,214.jpg,left,day
Ginger,13,215.jpg,left,day
Ginger,13,216.jpg,left,day
Ginger,13,217.jpg,left,day
Ginger,14,218.jpg,right,day
Ginger,14,219.jpg,right,day
Ginger,14,220.jpg,right,day
Ginger,14,221.jpg,right,day
Ginger,14,222.jpg,right,day
Ginger,14,223.jpg,right,day
Ginger,14,224.jpg,right,day
Ginger,14,225.jpg,right,day
Ginger,14,226.jpg,right,day
Ginger,14,227.jpg,right,day
Ginger,14,228.jpg,right,day
Ginger,14,229.jpg,right,day
Ginger,14,230.jpg,right,day
Ginger,14,231.jpg,right,day
Ginger,14,232.jpg,right,day
Ginger,14,233.jpg,right,day
